TOA5	1712	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1_Revised0930.CR6	36864	SoilPit1													
TIMESTAMP	RECORD	VWC_1_Avg	VWC_2_Avg	VWC_3_Avg	VWC_4_Avg	VWC_5_Avg	T_1_Avg	T_2_Avg	T_3_Avg	T_4_Avg	T_5_Avg	Tension_1_Avg	Temp_1_Avg	Tension_2_Avg	Temp_2_Avg	Tension_3_Avg	Temp_3_Avg	Tension_4_Avg	Temp_4_Avg	BattV_Min
TS	RN	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Deg C	Deg C	Deg C	Deg C	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	Volts
		Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Min
9/30/2016 15:00	0	0.033	0.042	0.04	0.034	0.028	22.87	16.81	15.2	14.32	13.92	-490	21.85	-1306	15.75	-7999	15.2	-7999	14.5	12.97
9/30/2016 16:00	1	0.033	0.042	0.04	0.034	0.028	24.3	17.43	15.17	14.34	13.91	-458.4	23.53	-1187	15.97	-7999	15.18	-7999	14.5	12.99
9/30/2016 17:00	2	0.034	0.042	0.04	0.034	0.028	25.09	18.39	15.14	14.34	13.92	-431.5	24.88	-1176	16.38	-7999	15.1	-7999	14.5	12.99
9/30/2016 18:00	3	0.034	0.042	0.04	0.034	0.028	24.69	19.1	15.15	14.35	13.91	-421	24.87	-1102	16.84	-7999	15.1	-7999	14.5	12.96
9/30/2016 19:00	4	0.033	0.043	0.04	0.034	0.028	22.85	19.47	15.18	14.35	13.91	-428.6	23.47	-1087	17.25	-7999	15.1	-7999	14.5	12.95
9/30/2016 20:00	5	0.033	0.043	0.04	0.034	0.028	20.65	19.44	15.22	14.36	13.93	-455.1	21.64	-1080	17.54	-7999	15.1	-7999	14.5	12.94
9/30/2016 21:00	6	0.032	0.043	0.04	0.034	0.028	18.85	19.07	15.28	14.36	13.93	-485.7	19.98	-1078	17.68	-7999	15.11	-7999	14.5	12.92
9/30/2016 22:00	7	0.031	0.042	0.04	0.034	0.028	17.75	18.57	15.36	14.37	13.93	-568.6	18.71	-1080	17.63	-7999	15.19	-7999	14.53	12.91
9/30/2016 23:00	8	0.031	0.042	0.04	0.034	0.028	17.18	18.08	15.43	14.37	13.95	-642.2	17.97	-1085	17.49	-7999	15.2	-7999	14.58	12.88
10/1/2016 0:00	9	0.031	0.042	0.04	0.034	0.028	17	17.68	15.5	14.38	13.94	-662	17.61	-1092	17.32	-7999	15.2	-7999	14.6	12.88
10/1/2016 1:00	10	0.031	0.042	0.04	0.034	0.028	16.8	17.39	15.55	14.39	13.96	-685.1	17.35	-1094	17.14	-7999	15.29	-7999	14.6	12.87
10/1/2016 2:00	11	0.03	0.042	0.04	0.034	0.028	16.64	17.16	15.58	14.39	13.96	-699.5	17.14	-1101	16.98	-7999	15.3	-7999	14.6	12.88
10/1/2016 3:00	12	0.03	0.042	0.04	0.034	0.028	16.37	16.96	15.62	14.39	13.96	-718.6	16.92	-1114	16.84	-7999	15.3	-7999	14.6	12.88
10/1/2016 4:00	13	0.03	0.042	0.04	0.034	0.028	16.07	16.78	15.63	14.41	13.97	-738.2	16.66	-1114	16.72	-7999	15.38	-7999	14.6	12.87
10/1/2016 5:00	14	0.03	0.042	0.04	0.034	0.028	15.76	16.58	15.65	14.43	13.97	-755.4	16.36	-1128	16.58	-7999	15.4	-7999	14.6	12.88
10/1/2016 6:00	15	0.03	0.042	0.04	0.034	0.028	15.37	16.39	15.64	14.44	13.98	-768.8	16.03	-1138	16.47	-7999	15.4	-7999	14.6	12.89
10/1/2016 7:00	16	0.03	0.042	0.04	0.034	0.028	15.03	16.19	15.63	14.46	13.99	-790.9	15.73	-1151	16.35	-7999	15.4	-7999	14.6	12.88
10/1/2016 8:00	17	0.03	0.042	0.04	0.034	0.028	14.63	15.98	15.62	14.47	14	-820	15.36	-1161	16.23	-7999	15.4	-7999	14.6	12.88
10/1/2016 9:00	18	0.03	0.042	0.04	0.034	0.028	14.27	15.76	15.61	14.49	14	-833	15.02	-1177	16.08	-7999	15.4	-7999	14.6	12.88
10/1/2016 10:00	19	0.03	0.041	0.04	0.034	0.028	14.41	15.53	15.59	14.49	14	-843	14.97	-1183	15.95	-7999	15.4	-7999	14.64	12.88
10/1/2016 11:00	20	0.03	0.041	0.04	0.034	0.028	14.55	15.41	15.56	14.5	14.01	-846	15.08	-1207	15.82	-7999	15.4	-7999	14.7	12.88
10/1/2016 12:00	21	0.03	0.041	0.04	0.034	0.028	14.47	15.33	15.53	14.52	14.02	-856	15	-1241	15.71	-7999	15.4	-7999	14.7	12.87
10/1/2016 13:00	22	0.03	0.041	0.04	0.034	0.028	15.48	15.28	15.5	14.53	14.01	-836	15.69	-1238	15.62	-7999	15.4	-7999	14.7	12.88
10/1/2016 14:00	23	0.03	0.041	0.04	0.034	0.028	17.58	15.55	15.47	14.54	14.02	-768.8	17.59	-1279	15.6	-7999	15.4	-7999	14.7	12.88
10/1/2016 15:00	24	0.031	0.042	0.04	0.034	0.028	19.24	16.07	15.43	14.54	14.03	-592.4	19.34	-1257	15.66	-7999	15.4	-7999	14.7	12.88
10/1/2016 16:00	25	0.031	0.042	0.04	0.034	0.028	21.19	16.71	15.41	14.55	14.04	-543.2	21.27	-1268	15.83	-7999	15.4	-7999	14.7	12.9
10/1/2016 17:00	26	0.032	0.042	0.04	0.034	0.028	21.94	17.37	15.38	14.55	14.05	-520.8	22.26	-1160	16.08	-7999	15.4	-7999	14.7	12.9
10/1/2016 18:00	27	0.032	0.042	0.04	0.034	0.028	21.37	17.84	15.37	14.55	14.05	-512.9	22.09	-1134	16.38	-7999	15.33	-7999	14.7	12.92
10/1/2016 19:00	28	0.031	0.042	0.04	0.034	0.028	19.4	17.98	15.37	14.55	14.06	-538.3	20.58	-1115	16.64	-7999	15.3	-7999	14.7	12.9
10/1/2016 20:00	29	0.031	0.042	0.04	0.034	0.028	17.17	17.8	15.39	14.56	14.06	-633.5	18.54	-1112	16.79	-7999	15.3	-7999	14.7	12.88
10/1/2016 21:00	30	0.03	0.042	0.04	0.034	0.028	15.04	17.32	15.42	14.56	14.06	-783.2	16.61	-1120	16.8	-7999	15.3	-7999	14.7	12.86
10/1/2016 22:00	31	0.029	0.042	0.04	0.034	0.028	13.37	16.68	15.45	14.56	14.08	-864	15.02	-1123	16.65	-7999	15.3	-7999	14.7	12.84
10/1/2016 23:00	32	0.029	0.042	0.04	0.034	0.028	12.09	15.97	15.49	14.56	14.07	-944	13.69	-1138	16.41	-7999	15.33	-7999	14.7	12.83
10/2/2016 0:00	33	0.029	0.042	0.04	0.034	0.028	11.04	15.3	15.51	14.57	14.09	-1019	12.58	-1168	16.11	-7999	15.4	-7999	14.7	12.81
10/2/2016 1:00	34	0.028	0.041	0.04	0.034	0.028	10.19	14.66	15.52	14.57	14.08	-1097	11.71	-1193	15.76	-7999	15.4	-7999	14.7	12.8
10/2/2016 2:00	35	0.028	0.041	0.04	0.034	0.028	9.54	14.07	15.52	14.57	14.1	-1157	10.99	-1209	15.41	-7999	15.4	-7999	14.7	12.8
10/2/2016 3:00	36	0.027	0.041	0.04	0.034	0.028	8.97	13.55	15.49	14.58	14.09	-1213	10.38	-1371	15.06	-7999	15.4	-7999	14.72	12.81
10/2/2016 4:00	37	0.027	0.041	0.04	0.034	0.028	8.85	13.07	15.46	14.58	14.09	-1251	10.01	-1346	14.72	-7999	15.4	-7999	14.77	12.79
10/2/2016 5:00	38	0.027	0.041	0.04	0.034	0.028	9.18	12.71	15.41	14.59	14.09	-1251	10.14	-1350	14.4	-7999	15.4	-7999	14.8	12.8
10/2/2016 6:00	39	0.027	0.041	0.04	0.034	0.028	9.37	12.48	15.35	14.6	14.1	-1252	10.28	-1413	14.13	-7999	15.4	-7999	14.8	12.8
10/2/2016 7:00	40	0.027	0.041	0.04	0.034	0.028	9.2	12.33	15.28	14.6	14.11	-1254	10.19	-1380	13.9	-7999	15.32	-7999	14.8	12.8
10/2/2016 8:00	41	0.027	0.041	0.04	0.034	0.028	8.73	12.14	15.2	14.59	14.12	-1284	9.77	-1407	13.65	-7999	15.3	-7999	14.8	12.8
10/2/2016 9:00	42	0.027	0.041	0.04	0.034	0.028	8.32	11.92	15.11	14.6	14.11	-1308	9.39	-1518	13.47	-7999	15.3	-7999	14.8	12.81
10/2/2016 10:00	43	0.027	0.041	0.04	0.034	0.028	8.16	11.67	15.03	14.59	14.12	-1335	9.13	-1484	13.28	-7999	15.21	-7999	14.8	12.81
10/2/2016 11:00	44	0.027	0.041	0.04	0.034	0.028	8.79	11.47	14.95	14.6	14.12	-1308	9.46	-1565	13.08	-7999	15.2	-7999	14.8	12.79
10/2/2016 12:00	45	0.027	0.04	0.04	0.034	0.028	9.37	11.41	14.86	14.59	14.12	-1263	9.85	-1681	12.92	-7999	15.13	-7999	14.8	12.8
10/2/2016 13:00	46	0.028	0.04	0.04	0.034	0.028	11.65	11.51	14.77	14.59	14.13	-1164	11.48	-1503	12.8	-7999	15.1	-7999	14.8	12.8
10/2/2016 14:00	47	0.028	0.041	0.04	0.034	0.028	14.67	12.05	14.69	14.57	14.13	-995	14.19	-1418	12.8	-7999	15.01	-7999	14.8	12.85
10/2/2016 15:00	48	0.029	0.041	0.04	0.034	0.028	16.51	12.88	14.6	14.56	14.14	-903	16.03	-1428	12.95	-7999	15	-7999	14.8	12.83
10/2/2016 16:00	49	0.03	0.041	0.04	0.034	0.028	18.6	13.73	14.52	14.55	14.13	-782.4	18.11	-1439	13.23	-7999	14.91	-7999	14.76	12.88
10/2/2016 17:00	50	0.03	0.041	0.04	0.034	0.028	19.62	14.57	14.45	14.53	14.13	-620.6	19.57	-1445	13.63	-7999	14.9	-7999	14.7	12.87
10/2/2016 18:00	51	0.03	0.041	0.04	0.034	0.028	19.23	15.23	14.41	14.52	14.13	-616.1	19.78	-1368	14.08	-7999	14.8	-7999	14.7	12.87
10/2/2016 19:00	52	0.03	0.042	0.04	0.034	0.028	17.35	15.55	14.38	14.5	14.13	-735.4	18.32	-1349	14.45	-7999	14.8	-7999	14.7	12.88
10/2/2016 20:00	53	0.029	0.042	0.04	0.034	0.028	15.19	15.51	14.38	14.48	14.14	-880	16.48	-1305	14.69	-7999	14.73	-7999	14.7	12.85
10/2/2016 21:00	54	0.029	0.042	0.04	0.034	0.028	13.29	15.16	14.39	14.47	14.12	-977	14.71	-1320	14.8	-7999	14.7	-7999	14.7	12.84
10/2/2016 22:00	55	0.028	0.041	0.04	0.034	0.028	12.46	14.67	14.41	14.44	14.13	-1057	13.65	-1334	14.75	-7999	14.7	-7999	14.7	12.8
10/2/2016 23:00	56	0.028	0.041	0.04	0.034	0.028	12.14	14.22	14.44	14.42	14.12	-1113	13.08	-1313	14.59	-7999	14.7	-7999	14.7	12.81
10/3/2016 0:00	57	0.028	0.041	0.04	0.034	0.028	11.86	13.88	14.47	14.41	14.12	-1147	12.74	-1361	14.42	-7999	14.7	-7999	14.7	12.8
10/3/2016 1:00	58	0.028	0.041	0.04	0.034	0.028	11.53	13.6	14.47	14.4	14.11	-1177	12.39	-1410	14.25	-7999	14.7	-7999	14.62	12.8
10/3/2016 2:00	59	0.028	0.041	0.04	0.034	0.028	11.14	13.35	14.48	14.38	14.11	-1225	12.04	-1410	14.1	-7999	14.7	-7999	14.6	12.79
10/3/2016 3:00	60	0.027	0.041	0.04	0.034	0.028	10.81	13.11	14.47	14.37	14.12	-1265	11.7	-1362	13.94	-7999	14.7	-7999	14.6	12.8
10/3/2016 4:00	61	0.027	0.041	0.04	0.034	0.028	10.53	12.86	14.45	14.36	14.1	-1302	11.41	-1429	13.73	-7999	14.7	-7999	14.6	12.8
10/3/2016 5:00	62	0.027	0.041	0.04	0.034	0.028	10.38	12.66	14.43	14.35	14.09	-1322	11.23	-1458	13.57	-7999	14.7	-7999	14.6	12.8
10/3/2016 6:00	63	0.027	0.041	0.04	0.034	0.028	10.12	12.47	14.39	14.34	14.1	-1355	11	-1467	13.43	-7999	14.64	-7999	14.6	12.8
10/3/2016 7:00	64	0.027	0.041	0.04	0.034	0.028	9.54	12.26	14.35	14.33	14.1	-1425	10.57	-1487	13.28	-7999	14.6	-7999	14.6	12.79
10/3/2016 8:00	65	0.027	0.041	0.04	0.034	0.028	8.92	12.03	14.32	14.32	14.08	-1481	10.01	-1519	13.14	-7999	14.6	-7999	14.6	12.77
10/3/2016 9:00	66	0.027	0.041	0.04	0.034	0.028	8.54	11.73	14.27	14.3	14.09	-1520	9.54	-1533	12.98	-7999	14.6	-7999	14.6	12.76
10/3/2016 10:00	67	0.027	0.041	0.04	0.034	0.028	8.46	11.47	14.22	14.3	14.08	-1558	9.34	-1617	12.81	-7999	14.6	-7999	14.6	12.76
10/3/2016 11:00	68	0.027	0.041	0.04	0.034	0.028	9.39	11.28	14.17	14.29	14.08	-1510	9.82	-1713	12.64	-7999	14.52	-7999	14.58	12.76
10/3/2016 12:00	69	0.027	0.041	0.039	0.034	0.028	10.35	11.32	14.11	14.28	14.07	-1448	10.68	-1623	12.5	-7999	14.5	-7999	14.5	12.76
10/3/2016 13:00	70	0.027	0.041	0.039	0.034	0.028	11.48	11.48	14.06	14.26	14.06	-1355	11.5	-1463	12.41	-7999	14.5	-7999	14.5	12.78
10/3/2016 14:00	71	0.028	0.041	0.039	0.034	0.028	13.34	11.8	14	14.25	14.06	-1253	12.94	-1406	12.42	-7999	14.41	-7999	14.5	12.8
10/3/2016 15:00	72	0.028	0.041	0.039	0.034	0.028	13.97	12.31	13.95	14.25	14.05	-1175	13.98	-1521	12.53	-7999	14.4	-7999	14.5	12.8
10/3/2016 16:00	73	0.028	0.041	0.039	0.034	0.028	14.7	12.71	13.9	14.23	14.05	-1147	14.51	-1532	12.71	-7999	14.39	-7999	14.5	12.8
10/3/2016 17:00	74	0.029	0.041	0.039	0.034	0.028	15.45	13.14	13.84	14.21	14.04	-1097	15.36	-1585	12.89	-7999	14.3	-7999	14.5	12.8
10/3/2016 18:00	75	0.029	0.041	0.039	0.034	0.028	15.76	13.53	13.8	14.19	14.04	-1084	15.79	-1579	13.11	-7999	14.3	-7999	14.5	12.81
10/3/2016 19:00	76	0.029	0.041	0.039	0.034	0.028	15.55	13.83	13.78	14.18	14.04	-1077	15.87	-1490	13.33	-7999	14.25	-7999	14.5	12.81
10/3/2016 20:00	77	0.028	0.041	0.039	0.034	0.028	14	13.98	13.77	14.16	14.02	-1150	14.88	-1462	13.53	-7999	14.2	-7999	14.48	12.8
10/3/2016 21:00	78	0.028	0.041	0.039	0.034	0.028	12.17	13.83	13.77	14.13	14.03	-1283	13.35	-1457	13.64	-7999	14.2	-7999	14.4	12.79
10/3/2016 22:00	79	0.027	0.041	0.039	0.034	0.028	10.99	13.44	13.77	14.13	14.01	-1414	12.16	-1444	13.64	-7999	14.2	-7999	14.4	12.78
10/3/2016 23:00	80	0.027	0.041	0.039	0.034	0.028	10.38	13.01	13.78	14.12	14	-1489	11.48	-1468	13.55	-7999	14.2	-7999	14.4	12.77
10/4/2016 0:00	81	0.027	0.041	0.039	0.034	0.028	9.93	12.63	13.78	14.09	14	-1544	10.98	-1504	13.38	-7999	14.2	-7999	14.4	12.76
10/4/2016 1:00	82	0.027	0.041	0.039	0.034	0.028	9.08	12.27	13.79	14.08	13.99	-1648	10.29	-1513	13.19	-7999	14.2	-7999	14.4	12.76
10/4/2016 2:00	83	0.026	0.041	0.039	0.034	0.028	8.09	11.89	13.77	14.06	13.99	-1771	9.38	-1538	13	-7999	14.18	-7999	14.4	12.76
10/4/2016 3:00	84	0.026	0.041	0.039	0.034	0.028	7.273	11.43	13.76	14.04	13.98	-1907	8.62	-1616	12.79	-7999	14.1	-7999	14.4	12.72
10/4/2016 4:00	85	0.026	0.041	0.039	0.034	0.028	6.614	10.99	13.74	14.04	13.98	-2021	7.992	-1748	12.55	-7999	14.1	-7999	14.33	12.72
10/4/2016 5:00	86	0.026	0.04	0.039	0.034	0.028	6.118	10.57	13.71	14.03	13.96	-2121	7.392	-1673	12.3	-7999	14.1	-7999	14.3	12.73
10/4/2016 6:00	87	0.026	0.04	0.039	0.034	0.028	5.69	10.17	13.68	14.01	13.96	-2212	6.95	-1572	12.03	-7999	14.1	-7999	14.3	12.72
10/4/2016 7:00	88	0.026	0.04	0.039	0.034	0.028	5.39	9.82	13.62	14	13.95	-2275	6.617	-1412	11.79	-7999	14.1	-7999	14.3	12.72
10/4/2016 8:00	89	0.025	0.04	0.039	0.034	0.028	4.989	9.51	13.56	13.98	13.95	-2342	6.283	-1421	11.55	-7999	14.03	-7999	14.3	12.73
10/4/2016 9:00	90	0.025	0.04	0.039	0.034	0.028	4.694	9.19	13.49	13.97	13.93	-2429	5.883	-1439	11.31	-7999	14	-7999	14.3	12.73
10/4/2016 10:00	91	0.025	0.04	0.039	0.034	0.028	5.578	8.94	13.43	13.96	13.92	-2305	6.292	-1768	11.08	-7999	14	-7999	14.3	12.72
10/4/2016 11:00	92	0.026	0.039	0.039	0.034	0.028	7.116	8.9	13.35	13.94	13.92	-2081	7.35	-1952	10.88	-7999	13.93	-7999	14.3	12.72
10/4/2016 12:00	93	0.026	0.04	0.039	0.034	0.028	8.56	9.1	13.27	13.93	13.91	-1853	8.63	-1966	10.8	-7999	13.9	-7999	14.28	12.74
10/4/2016 13:00	94	0.026	0.04	0.039	0.034	0.028	9.96	9.47	13.19	13.91	13.9	-1682	9.76	-1955	10.78	-7999	13.84	-7999	14.2	12.76
10/4/2016 14:00	95	0.027	0.04	0.039	0.034	0.028	12.11	9.98	13.11	13.89	13.89	-1479	11.58	-1951	10.83	-7999	13.7	-7999	14.2	12.76
10/4/2016 15:00	96	0.027	0.04	0.039	0.034	0.028	13.2	10.64	13.04	13.87	13.89	-1360	12.84	-1921	11.01	-7999	13.7	-7999	14.2	12.76
10/4/2016 16:00	97	0.027	0.041	0.039	0.034	0.028	14.44	11.29	12.97	13.85	13.87	-1277	14.1	-1874	11.27	-7999	13.6	-7999	14.2	12.78
10/4/2016 17:00	98	0.028	0.041	0.039	0.034	0.028	16.06	11.93	12.92	13.83	13.87	-1169	15.69	-1790	11.57	-7999	13.58	-7999	14.2	12.8
10/4/2016 18:00	99	0.028	0.041	0.039	0.034	0.028	16.31	12.6	12.88	13.81	13.86	-1128	16.58	-1593	11.9	-7999	13.5	-7999	14.2	12.8
10/4/2016 19:00	100	0.028	0.041	0.039	0.034	0.028	14.47	13.02	12.86	13.79	13.86	-1206	15.33	-1372	12.24	-7999	13.5	-7999	14.13	12.8
10/4/2016 20:00	101	0.027	0.041	0.039	0.034	0.028	12.87	13.05	12.85	13.76	13.84	-1340	13.91	-1421	12.5	-7999	13.46	-7999	14.1	12.78
10/4/2016 21:00	102	0.027	0.041	0.039	0.034	0.028	11.36	12.83	12.86	13.73	13.84	-1494	12.53	-1568	12.63	-7999	13.4	-7999	14.1	12.75
10/4/2016 22:00	103	0.027	0.041	0.039	0.034	0.028	9.86	12.46	12.88	13.71	13.82	-1668	11.17	-1597	12.66	-7999	13.4	-7999	14.1	12.77
10/4/2016 23:00	104	0.026	0.041	0.039	0.034	0.028	8.68	11.97	12.9	13.69	13.82	-1861	10.05	-1695	12.56	-7999	13.4	-7999	14.1	12.73
10/5/2016 0:00	105	0.026	0.041	0.039	0.034	0.028	7.895	11.47	12.93	13.67	13.79	-2015	9.16	-1629	12.38	-7999	13.4	-7999	14.06	12.72
10/5/2016 1:00	106	0.026	0.041	0.039	0.034	0.028	7.493	11	12.93	13.66	13.79	-2108	8.64	-1542	12.18	-7999	13.4	-7999	14	12.73
10/5/2016 2:00	107	0.026	0.041	0.039	0.034	0.028	7.235	10.61	12.94	13.64	13.78	-2193	8.33	-1527	11.95	-7999	13.4	-7999	14	12.72
10/5/2016 3:00	108	0.026	0.04	0.039	0.034	0.028	7.193	10.31	12.93	13.61	13.77	-2233	8.18	-1406	11.73	-7999	13.4	-7999	14	12.73
10/5/2016 4:00	109	0.026	0.04	0.039	0.034	0.028	7.125	10.08	12.91	13.6	13.76	-2239	8.06	-1418	11.54	-7999	13.4	-7999	14	12.73
10/5/2016 5:00	110	0.026	0.04	0.039	0.034	0.028	6.926	9.89	12.89	13.59	13.75	-2270	7.892	-1507	11.36	-7999	13.4	-7999	14	12.73
10/5/2016 6:00	111	0.026	0.04	0.039	0.034	0.028	6.712	9.71	12.85	13.57	13.73	-2340	7.65	-1638	11.22	-7999	13.34	-7999	13.98	12.72
10/5/2016 7:00	112	0.025	0.04	0.039	0.034	0.028	6.428	9.54	12.81	13.55	13.72	-2390	7.367	-1924	11.07	-7999	13.3	-7999	13.9	12.72
10/5/2016 8:00	113	0.025	0.04	0.039	0.034	0.027	6.02	9.35	12.77	13.54	13.71	-2451	7.042	-1946	10.93	-7999	13.3	-7999	13.9	12.72
10/5/2016 9:00	114	0.025	0.04	0.039	0.034	0.027	5.778	9.13	12.72	13.52	13.7	-2518	6.733	-1968	10.78	-7999	13.29	-7999	13.9	12.7
10/5/2016 10:00	115	0.025	0.04	0.039	0.034	0.028	5.953	8.93	12.67	13.51	13.7	-2504	6.792	-1990	10.64	-7999	13.2	-7999	13.9	12.72
10/5/2016 11:00	116	0.025	0.04	0.038	0.034	0.027	6.58	8.83	12.61	13.5	13.68	-2417	7.117	-2005	10.5	-7999	13.2	-7999	13.9	12.73
10/5/2016 12:00	117	0.025	0.04	0.038	0.034	0.028	7.034	8.84	12.55	13.49	13.69	-2327	7.483	-2016	10.4	-7999	13.19	-7999	13.9	12.73
10/5/2016 13:00	118	0.026	0.04	0.038	0.034	0.027	8.9	8.94	12.49	13.47	13.66	-2055	8.81	-2021	10.32	-7999	13.1	-7999	13.89	12.72
10/5/2016 14:00	119	0.026	0.04	0.038	0.034	0.028	11.75	9.41	12.45	13.45	13.65	-1683	11.43	-2016	10.34	-7999	13.1	-7999	13.8	12.74
10/5/2016 15:00	120	0.027	0.04	0.038	0.034	0.028	13.93	10.17	12.39	13.42	13.64	-1466	13.29	-1995	10.51	-7999	13.05	-7999	13.78	12.76
10/5/2016 16:00	121	0.027	0.041	0.038	0.033	0.028	15.88	11.04	12.34	13.41	13.63	-1287	15.51	-1944	10.79	-7999	13	-7999	13.7	12.78
10/5/2016 17:00	122	0.028	0.041	0.038	0.033	0.028	16.47	11.91	12.3	13.4	13.61	-1214	16.4	-1883	11.15	-7999	12.98	-7999	13.7	12.76
10/5/2016 18:00	123	0.028	0.041	0.038	0.033	0.028	16.43	12.56	12.27	13.37	13.61	-1197	16.65	-1791	11.56	-7999	12.9	-7999	13.7	12.79
10/5/2016 19:00	124	0.028	0.041	0.038	0.033	0.028	15.2	12.99	12.26	13.35	13.6	-1277	15.83	-1489	11.93	-7999	12.9	-7999	13.7	12.76
10/5/2016 20:00	125	0.027	0.041	0.038	0.033	0.028	13.2	13.07	12.28	13.32	13.59	-1447	14.23	-1371	12.21	-7999	12.9	-7999	13.7	12.76
10/5/2016 21:00	126	0.027	0.041	0.038	0.033	0.028	12	12.85	12.31	13.3	13.58	-1609	12.98	-1561	12.38	-7999	12.9	-7999	13.66	12.74
10/5/2016 22:00	127	0.026	0.041	0.038	0.033	0.028	11.27	12.55	12.36	13.29	13.56	-1727	12.22	-1540	12.4	-7999	12.9	-7999	13.6	12.73
10/5/2016 23:00	128	0.026	0.041	0.038	0.033	0.028	10.37	12.24	12.41	13.26	13.55	-1890	11.44	-1537	12.35	-7999	12.9	-7999	13.6	12.72
10/6/2016 0:00	129	0.026	0.041	0.038	0.033	0.028	9.58	11.9	12.44	13.24	13.53	-2020	10.68	-1606	12.26	-7999	12.9	-7999	13.6	12.73
10/6/2016 1:00	130	0.026	0.041	0.038	0.033	0.028	9.27	11.56	12.49	13.23	13.53	-2105	10.25	-1616	12.14	-7999	12.9	-7999	13.6	12.73
10/6/2016 2:00	131	0.026	0.041	0.038	0.033	0.028	8.86	11.27	12.51	13.21	13.51	-2196	9.8	-1603	12.01	-7999	12.9	-7999	13.6	12.73
10/6/2016 3:00	132	0.026	0.041	0.038	0.033	0.028	8.53	11.01	12.52	13.2	13.5	-2261	9.43	-1439	11.86	-7999	12.9	-7999	13.59	12.73
10/6/2016 4:00	133	0.026	0.041	0.038	0.033	0.028	8.46	10.76	12.54	13.19	13.49	-2342	9.26	-1407	11.73	-7999	12.9	-7999	13.51	12.73
10/6/2016 5:00	134	0.026	0.041	0.038	0.033	0.027	8.38	10.57	12.53	13.18	13.48	-2341	9.13	-1415	11.58	-7999	12.9	-7999	13.5	12.7
10/6/2016 6:00	135	0.026	0.041	0.038	0.033	0.028	8.34	10.42	12.52	13.17	13.48	-2373	9.07	-1425	11.46	-7999	12.9	-7999	13.5	12.72
10/6/2016 7:00	136	0.026	0.04	0.038	0.033	0.028	8.31	10.3	12.5	13.16	13.46	-2392	9	-1478	11.34	-7999	12.9	-7999	13.5	12.7
10/6/2016 8:00	137	0.025	0.04	0.038	0.033	0.028	8.22	10.19	12.48	13.15	13.45	-2412	8.93	-1709	11.25	-7999	12.9	-7999	13.5	12.69
10/6/2016 9:00	138	0.025	0.04	0.038	0.033	0.028	8.16	10.1	12.46	13.14	13.44	-2428	8.84	-1684	11.17	-7999	12.9	-7999	13.5	12.69
10/6/2016 10:00	139	0.025	0.04	0.038	0.033	0.027	8.68	10.03	12.43	13.14	13.42	-2384	9.12	-1851	11.09	-7999	12.9	-7999	13.5	12.69
10/6/2016 11:00	140	0.026	0.04	0.038	0.033	0.028	9.73	10.06	12.39	13.13	13.42	-2174	9.85	-1940	11	-7999	12.9	-7999	13.5	12.73
10/6/2016 12:00	141	0.026	0.04	0.038	0.033	0.028	10.99	10.26	12.36	13.12	13.41	-2002	10.94	-1941	11	-7999	12.85	-7999	13.5	12.72
10/6/2016 13:00	142	0.026	0.041	0.038	0.033	0.028	11.9	10.6	12.34	13.11	13.4	-1877	11.75	-1894	11.05	-7999	12.8	-7999	13.49	12.72
10/6/2016 14:00	143	0.027	0.041	0.038	0.033	0.028	14.02	11.01	12.31	13.11	13.39	-1632	13.47	-1908	11.16	-7999	12.8	-7999	13.4	12.73
10/6/2016 15:00	144	0.027	0.041	0.038	0.033	0.028	14.19	11.63	12.28	13.09	13.37	-1542	14.21	-1806	11.35	-7999	12.8	-7999	13.4	12.72
10/6/2016 16:00	145	0.027	0.041	0.038	0.033	0.028	13.56	12.03	12.26	13.08	13.37	-1599	13.88	-1451	11.59	-7999	12.8	-7999	13.4	12.73
10/6/2016 17:00	146	0.027	0.041	0.038	0.033	0.028	14.91	12.24	12.25	13.07	13.37	-1492	15.01	-1402	11.81	-7999	12.73	-7999	13.4	12.73
10/6/2016 18:00	147	0.027	0.041	0.038	0.033	0.028	14.9	12.56	12.24	13.05	13.36	-1452	15.57	-1389	11.98	-7999	12.7	-7999	13.4	12.75
10/6/2016 19:00	148	0.027	0.041	0.038	0.033	0.028	13.67	12.75	12.25	13.04	13.35	-1543	14.59	-1451	12.18	-7999	12.7	-7999	13.4	12.75
10/6/2016 20:00	149	0.026	0.041	0.038	0.033	0.028	11.77	12.69	12.27	13.03	13.34	-1759	13	-1441	12.33	-7999	12.7	-7999	13.4	12.73
10/6/2016 21:00	150	0.026	0.041	0.038	0.033	0.028	10.16	12.36	12.29	13.02	13.32	-2001	11.49	-1599	12.4	-7999	12.7	-7999	13.4	12.71
10/6/2016 22:00	151	0.026	0.041	0.038	0.033	0.028	9.29	11.91	12.32	13.01	13.32	-2169	10.55	-1641	12.3	-7999	12.7	-7999	13.4	12.7
